geoid,name,total_population,total_population_25_over,median_income,median_home_value,educational_attainment,white_alone,black_alone,native_alone,asian_alone,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,city,metro_area,total_population_25_under,proportion_25_under
11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",2454,1425.0,26250.0,345600.0,308.0,122.0,2278.0,0.0,0.0,0.0,0.0,17.0,37.0,Washington,Washington-Arlington-Alexandria,1029.0,0.4193154034229829
11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",4855,3463.0,34840.0,255000.0,727.0,311.0,4292.0,0.0,0.0,13.0,0.0,41.0,198.0,Washington,Washington-Arlington-Alexandria,1392.0,0.2867147270854789
11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",2524,1817.0,33750.0,250000.0,344.0,20.0,2280.0,0.0,0.0,0.0,0.0,130.0,94.0,Washington,Washington-Arlington-Alexandria,707.0,0.28011093502377177
11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",3691,2838.0,56404.0,356600.0,1008.0,211.0,2688.0,68.0,71.0,0.0,0.0,66.0,587.0,Washington,Washington-Arlington-Alexandria,853.0,0.2311026821999458
11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",2979,1526.0,30728.0,298600.0,252.0,52.0,2375.0,0.0,0.0,15.0,0.0,46.0,491.0,Washington,Washington-Arlington-Alexandria,1453.0,0.4877475662974152
11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",3252,2345.0,40605.0,318100.0,788.0,398.0,2571.0,0.0,90.0,0.0,7.0,22.0,164.0,Washington,Washington-Arlington-Alexandria,907.0,0.2789052890528905
11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",2918,2040.0,26215.0,330900.0,382.0,309.0,2243.0,0.0,14.0,0.0,0.0,59.0,293.0,Washington,Washington-Arlington-Alexandria,878.0,0.3008910212474297
11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",3120,2322.0,51813.0,258000.0,376.0,57.0,3029.0,0.0,11.0,0.0,0.0,21.0,2.0,Washington,Washington-Arlington-Alexandria,798.0,0.25576923076923075
11001000100,"Census Tract 1, District of Columbia, District of Columbia",5170,4098.0,168477.0,1231500.0,3741.0,4093.0,53.0,0.0,296.0,0.0,0.0,103.0,625.0,Washington,Washington-Arlington-Alexandria,1072.0,0.20735009671179883
11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",6267,4263.0,148456.0,761900.0,3688.0,4731.0,335.0,27.0,339.0,0.0,11.0,244.0,607.0,Washington,Washington-Arlington-Alexandria,2004.0,0.31977022498803254
11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",3476,2538.0,99808.0,970300.0,2232.0,2253.0,215.0,0.0,343.0,0.0,0.0,102.0,563.0,Washington,Washington-Arlington-Alexandria,938.0,0.26985040276179517
11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",7853,5233.0,164180.0,919000.0,4683.0,5835.0,316.0,0.0,492.0,0.0,0.0,447.0,763.0,Washington,Washington-Arlington-Alexandria,2620.0,0.3336304596969311
11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",3217,2600.0,91711.0,420800.0,1672.0,1224.0,1435.0,0.0,41.0,0.0,0.0,79.0,438.0,Washington,Washington-Arlington-Alexandria,617.0,0.19179359651849548
11001003000,"Census Tract 30, District of Columbia, District of Columbia",3279,2545.0,67457.0,677900.0,1628.0,1316.0,1275.0,7.0,95.0,0.0,9.0,46.0,538.0,Washington,Washington-Arlington-Alexandria,734.0,0.22384873437023484
11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",4066,3347.0,121250.0,687200.0,2461.0,1700.0,1765.0,0.0,182.0,0.0,8.0,159.0,252.0,Washington,Washington-Arlington-Alexandria,719.0,0.17683226758485
11001003600,"Census Tract 36, District of Columbia, District of Columbia",4833,4124.0,93734.0,630600.0,2947.0,2129.0,1281.0,0.0,569.0,0.0,0.0,215.0,639.0,Washington,Washington-Arlington-Alexandria,709.0,0.14669977239809642
11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",2538,2248.0,105978.0,469400.0,2072.0,1918.0,35.0,9.0,144.0,0.0,7.0,72.0,353.0,Washington,Washington-Arlington-Alexandria,290.0,0.11426319936958235
11001000600,"Census Tract 6, District of Columbia, District of Columbia",4998,3853.0,221103.0,906300.0,3499.0,3554.0,271.0,0.0,288.0,0.0,9.0,100.0,776.0,Washington,Washington-Arlington-Alexandria,1145.0,0.22909163665466187
11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",3375,2459.0,111361.0,834600.0,1959.0,2145.0,319.0,0.0,181.0,0.0,9.0,122.0,599.0,Washington,Washington-Arlington-Alexandria,916.0,0.27140740740740743
11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",4202,2988.0,87256.0,597000.0,1428.0,781.0,2326.0,7.0,66.0,0.0,46.0,82.0,894.0,Washington,Washington-Arlington-Alexandria,1214.0,0.28891004283674443
11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",4819,3868.0,54359.0,418100.0,1042.0,428.0,3152.0,28.0,178.0,0.0,0.0,83.0,950.0,Washington,Washington-Arlington-Alexandria,951.0,0.1973438472712181
11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",3528,2831.0,67409.0,590800.0,1557.0,1260.0,1579.0,0.0,313.0,0.0,15.0,89.0,272.0,Washington,Washington-Arlington-Alexandria,697.0,0.19756235827664398
